Noun in Polish,Translation or definition in English,Category
porucznik,lieutenant,profession
pastor,pastor,profession
ksiądz,priest,profession
lump,tramp,profession
pajac,clown,profession
chirurg,surgeon,profession
premier,prime minister,profession
polityk,politician,profession
magister,master (holder of a university degree),profession
nurek,diver,profession
geriatra,geriatrician,profession
dziekan,dean,profession
starosta,highest administrative officer of a second-level unit of local government,profession
jeniec,captive,profession
nieuk,dunce,profession
inżynier,engineer,profession
mędrzec,wise man,profession
architekt,architect,profession
zbieg,fugitive,profession
szubrawiec,rascal,profession
szpieg,spy,profession
upiór,phantom,profession
prefekt,prefect,profession
muzykolog,musicologist,profession
majster,foreman,profession
pułkownik,colonel,profession
petent,applicant,profession
geometra,geometer,profession
elekt,"person elected in a specified post, but has not yet entered office",profession
pediatra,pediatrician,profession
prezydent,president,profession
murarz,bricklayer,profession
widz,audience member,profession
jaskiniowiec,caveman,profession
ftyzjatra,pulmonologist,profession
dureń,fool,profession
powstaniec,insurgent,profession
sierżant,sargeant,profession
wójt,highest administrative officer of a basic-level unit of local government,profession
szklarz,glazier,profession
kierowca,driver,profession
drań,scoundrel,profession
burmistrz,mayor,profession
dramaturg,playwright,profession
ginekolog,gynecologist,profession
jeździec,rider,profession
ekspert,expert,profession
naukowiec,scientist,profession
foniatra,phoniatrician,profession
subiekt,salesman,profession
rektor,person in charge of a university,profession
minister,minister,profession
dupek,asshole,profession
psychiatra,psychiatrist,profession
głupek,fool,profession
proboszcz,parish priest,profession
adiunkt,someone who holds a PhD title and is employed at a scientific institution,profession
demiurg,demiurge,profession
herszt,ringleader,profession
metalurg,metallurgist,profession
babochłop,"a woman that resembles a man with her physicality, looks and behavior",gendered
babol,a woman that looks or behaves in a way that causes aversion in the speaker,gendered
babon,"a woman, about whom the speaker feels negatively",gendered
babsko,"a woman, about whom the speaker feels negatively",gendered
babsztyl,"a woman, about whom the speaker feels negatively",gendered
babus,"a woman, about whom the speaker feels negatively",gendered
chłopaczysko,a tall or big young man,gendered
chłopobaba,"a man that resembles a woman with his physicality, looks and behavior (can also mean a woman that resembles a man)",gendered
ciota,a homosexual man (can also refer to a woman about whom the speaker feels negatively),gendered
dziewczątko,"a girl, whom the speaker likes or to whom they feel compassion",gendered
dziewczę,a young girl,gendered
dziewuszysko,a girl who causes aversion or contempt in the speaker,gendered
kobieciątko,"expressively about a woman, diminutive",gendered
kobiecisko,"expressively about a woman, augumentative, or to refer to a big woman",gendered
kobieton,"a woman that resembles a man with her physicality, looks and behavior",gendered
pacholę,a boy,gendered
pannisko,"expressively about a young woman, augumentative",gendered
pasztet,an ugly and unattractive woman,gendered
wamp,"a confident, misterious, provocative and attractive woman who seduces men",gendered
